Frequency Rank,Headword,Definitions,Morpheus,*Comments*,CL5,AG,AL,K&R,Wheelock,Shelmerdine,Part of Speech,Semantic Group
252,prīmum,"at first, firstly",primus,Already own thing in dcc,,FALSE,FALSE,,,,Adverb,Time
91,prīmus -a -um,first,,,,TRUE,FALSE,,,,Adjective: 1st and 2nd Declension,Time
317,prīnceps -cipis,"first, chief",,,,FALSE,FALSE,,,,Adjective: 3rd Declension,The City
948,prīncipium -ī n.,beginning,,,,FALSE,FALSE,,,,Noun: 2nd Declension,Time
526,prior prius,"earlier, preceding",,,,FALSE,FALSE,,,,Adjective: 3rd Declension,Time
484,prius,before,prior,,,FALSE,FALSE,,,,Adverb,Time
484,priusquam,before,prior,split from prius,,FALSE,FALSE,,,,Adverb,Time
882,prīvātus -a -um,"personal, private",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Social Life
128,prō,"for, on behalf of, in proportion to (+abl.)",pro1,Morpheus L&S links seem off. pro2 in Elem Lewis,,TRUE,FALSE,,,,Preposition,Non-Directional Prepositions
784,probō -āre,"approve, prove; convince one (dat.) of a thing (acc.)",,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Verbs of Compelling/Directing
746,prōcēdō -cēdere -cessī -cessum,"go forth, advance",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Motion
397,procul,at a distance,,,,FALSE,FALSE,,,,Adverb,Place
929,prōdō prōdere prōdidī prōditum,"publish, hand down; give over, betray",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Verbs of Transport
348,proelium -ī n.,battle,,,,TRUE,FALSE,,,,Noun: 2nd Declension,War and Peace
835,proficīscor -ficīscī -fectus sum,"set forth, go",,,,TRUE,FALSE,,,,Verb: Deponent,Travel
604,prohibeō -ēre -uī -itum,"restrain, keep away",,,,TRUE,FALSE,,,,Verb: 2nd Conjugation,Verbs of Compelling/Directing
720,prōmittō -mittere -mīsī -missum,"send forth, offer",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
189,prope,"near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost",,Could split comparative/superlatives,,FALSE,FALSE,,,,Preposition,Place
537,properō -āre,"hasten, speed",,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Motion
930,prōpōnō -pōnere -posuī -positum,"put forth, propose, present",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Speech/Oratory
854,proprius -a -um,"one’s own, peculiar",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
560,propter,because of (+ acc.),,,,FALSE,FALSE,,,,Preposition,Non-Directional Prepositions
373,prōsum prodesse profuī,"be of use, do good, help (+ dat.)",,,,FALSE,FALSE,,,,Verb: Irregular,Social Life
903,prōtinus,"at once, forthwith",,,,FALSE,FALSE,,,,Adverb,Time
620,prōvincia -ae f.,province; official duty,,,,FALSE,FALSE,,,,Noun: 1st Declension,The City
