"gaudeō, gaudēre, gāvīsus sum",19,"to rejoice, be glad; delight in (+ abl.)",,
"gaudium, gaudiī, n.",17,"joy, delight",,
"gēns, gentis, f. ",12,clan,,
"genū, genūs, n.",16,knee,,
"genus, generis, n.",14,birth,,
"gerō, gerere, gessī, gestus",12,to bear,,
"gladius, gladiī, m. ",28,sword,,
"glōria, glōriae, f.",24,"glory, fame; ambition, boasting",,
"Graecia, Graeciae, f.",20,Greece,,
"Graecus, Graeca, Graecum",18,Greek,,
gratiā (+ gen.),10,"for the sake of, because of",,
"grātia, grātiae, f.",10,"grace; favor, kindness; gratitude",,
grātias agō (+ dat.),10,to thank,,
"gravis, grave",21,"heavy; serious, important; difficult",,
"habeō, habēre, habuī, habitus",1,to have; consider,,
hīc,31,here,,
"hic, haec, hoc",9,this,,
hinc,31,from this place; hence,,
hodiē,13,today,,
"homō, hominis, m.",7,"human being, man",,
"honestus, honesta, honestum",31,"honest, worthy, honorable",,
"honor, honōris, m.",14,"honor, respect; public office",,
"hōra, hōrae, f.",11,"hour, season",,
"hortor, hortārī, hortātus sum",24,"to urge, encourage",,
"hostis, hostis, m. ",14,"enemy (of the state, usually used in the plural; contrast inimīcus = a personal enemy)",,
"humus, humī, f.",15,"ground, earth",,
"iaceō, iacēre, iacuī, iacitūrus",1,"to lie (e.g., on the ground), lie dead",,
"iactō, iactāre, iactāvī, iactātus",5,to throw,,
iam,11,"now, already",,
ibi,19,there,,
"īdem, eadem, idem",18,the same,,
igitur,16,therefore,,
"ignārus, ignāra, ignārum",31,"ignorant (of), unaware (of)",,
"ignis, ignis, f.",10,fire,,
"ille, illa, illud",9,that,,
"impedimentum, impedimentī, n.",31,"hindrance, obstacle",,
"imperātor, imperātōris, m.",27,general; emperor,,
"imperium, imperiī, n.",3,"command, (military) power",,
"imperō, imperāre, imperāvī, imperātus (+ dat.)",28,"to command, order; rule (over)",,
"impetus, impetūs, m.",16,attack; charge; impulse,,
"impleō, implēre, implēvī, implētus",3,"to fill, fill up; complete",,
in (+ abl.),4,"in, on",,
in (+ acc.),4,"into, onto, against",,
"incendō, incendere, incendī, incēnsus",15,"to set fire to, burn; inflame",,
"incipiō, incipere, incēpī, inceptus",9,to begin,,
"incolō, incolere, incoluī, —",13,"to inhabit, live in",,
inde,16,"from there; then, from that time forth",,
"indignus, indigna, indignum",15,unworthy; undeserved; shameful,,
"ineō, inīre, iniī (or -īvī) initūrus",23,to enter; begin,,
"īnfēlix, īnfēlīcis",23,"unhappy, unlucky",,
"īnferō, īnferre, intulī, illātus",23,"to bring in, introduce; inflict",,
"ingenium, ingeniī, n.",25,"talent, (innate) nature, character",,
"ingēns, ingentis",10,"huge, mighty",,
"ingredior, ingredī, ingressus sum",22,"to enter; march, walk",,
