lemma	headword	definition	chapter
iaceo	"iaceō, iacēre, iacuī, iacitūrus"	"to lie (e.g., on the ground), lie dead"	1
iacto	"iactō, iactāre, iactāvī, iactātus"	to throw	5
iam	iam	"now, already"	11
ibi	ibi	there	19
idem	"īdem, eadem, idem"	the same	18
igitur	igitur	therefore	16
ignarus	"ignārus, ignāra, ignārum"	"ignorant (of), unaware (of)"	31
ignis	"ignis, ignis, f."	fire	10
ille	"ille, illa, illud"	that	9
impedimentum	"impedimentum, impedimentī, n."	"hindrance, obstacle"	31
imperator	"imperātor, imperātōris, m."	general; emperor	27
imperium	"imperium, imperiī, n."	"command, (military) power"	3
impero	"imperō, imperāre, imperāvī, imperātus"	"to command, order; rule (over) [+ dat.]"	28
impetus	"impetus, impetūs, m."	attack; charge; impulse	16
impleo	"impleō, implēre, implēvī, implētus"	"to fill, fill up; complete"	3
in	in	"in, on [+ abl.]"	4
in	in	"into, onto [+ acc.]"	4
in	in	against [+ acc.]
incendo	"incendō, incendere, incendī, incēnsus"	"to set fire to, burn; inflame"	15
incipio	"incipiō, incipere, incēpī, inceptus"	to begin	9
incolo	"incolō, incolere, incoluī, —"	"to inhabit, live in"	13
inde	inde	"from there; then, from that time forth"	16
indignus	"indignus, indigna, indignum"	unworthy; undeserved; shameful	15
ineo	"ineō, inīre, iniī (or -īvī) initūrus"	to enter; begin	23
infelix	"īnfēlix, īnfēlīcis"	"unhappy, unlucky"	23
infero	"īnferō, īnferre, intulī, illātus"	"to bring in, introduce; inflict"	23
ingenium	"ingenium, ingeniī, n."	"talent, (innate) nature, character"	25
ingens	"ingēns, ingentis"	"huge, mighty"	10
ingredior	"ingredior, ingredī, ingressus sum"	"to enter; march, walk"	22
inimicus	"inimīcus, inimīca, inimīcum"	"unfriendly, hostile (to)"	12
inquam	inquit	(s)he said [introduces a direct quotation]	19
insidiae	"īnsidiae, īnsidiārum, f. pl."	"ambush, plot; treachery"	31
intellego	"intellegō, intellegere, intellēxī, intellēctus"	to understand	21
inter	inter	"between, among [+ acc.]"	9
interficio	"interficiō, interficere, interfēcī, interfectus"	"to kill, destroy"	17
iniuria	"inūria, inūriae, f."	"injury, harm; insult, wrong"	25
invenio	"inveniō, invenīre, invēnī, inventus"	"to find; discover, invent"	13
ipse	"ipse, ipsa, ipsum"	"___self, himself, herself, itself; very"	18
ira	"īra, īrae, f."	anger	6
iratus	"īrātus, īrāta, īrātum"	angry	8
is	"is, ea, id"	"he, she, it, (pl.) they; this, that"	8
ita	ita	"thus, so, in this way"	13
	"Ītalia, Ītaliae, f."	Italy	6
itaque	itaque	"and so, therefore"	12
iter	"iter, itineris, n."	"journey, path, route; a day’s march"	12
iterum	iterum	"again, a second time"	30
iubeo	"iubeō, iubēre, iūssī, iūssus"	"to order, command"	20
iudex	"iūdex, iūdicis, m."	judge	27
iudicium	"iūdicium, iūdiciī, n."	"court, trial; judgment"	14
iudico	"iūdicō, iūdicāre, iūdicāvi, iūdicātus"	to judge; decide	8
iungo	"iungō, iungere, iūnxī, iūnctus"	"to join, unite, connect; yoke"	25
ius2	"iūs, iūris, n."	"right, law; justice"	7
iustus	"iūstus, iūsta, iūstum"	"just, fair"	21
iuvo	"iuvō, iuvāre, iūvī, iūtus"	to help; please	1
labor2	"labor, labōris, m."	"work, labor, effort; hardship"	15
laboro	"labōrō, labōrāre, labōrāvī, labōrātus"	"to work, strive"	1
lacrima	"lacrima, lacrimae, f."	tear	9
laetus	"laetus, laeta, laetum"	happy; fertile	6
latus	"lātus, lāta, lātum"	"wide, broad"	26
laudo	"laudō, laudāre, laudāvī, laudātus"	to praise	1
laus	"laus, laudis, f."	praise	15
legatus	"lēgātus, lēgātī, m."	"delegate, envoy, ambassador; legion commander"	14
lego2	"legō, legere, lēgī, lēctus"	"to read; choose, select"	8
levis	"levis, leve"	"light, easy; swift"	18
lex	"lex, lēgis, f."	law	7
liber	"līber, lībera, līberum"	free	5
liber4	"liber, librī m."	book	3
liber2	"līberī, līberōrum, m. pl."	children	19
libertas	"lībertās, lībertātis, f."	"freedom, liberty"	7
licet	"licet, licēre, licuit"	"it is allowed, it is lawful [+ dat.]"	31
littera	"littera, litterae, f. pl."	"letter (of the alphabet); pl. letter, literature"	8
litus3	"lītus, lītoris, n."	"shore, beach, coast"	14
locus	"locus, locī, m. (in pl. sometimes n.)"	"place, position"	2
longus	"longus, longa, longum"	long	5
